"ensembl_gene_id","hgnc_symbol","Control-1","Control-2","Control-3","PNA-10b-1","PNA-10b-2","PNA-10b-3","PNA-21-1","PNA-21-2","PNA-21-3","PNA-10b+21-1","PNA-10b+21-2","PNA-10b+21-3"
"ENSG00000000003","TSPAN6",40.4721141696806,38.0613744465761,42.5632395332843,33.5172409588765,33.034411772707,31.9978397806635,28.8469975156517,29.4146474880768,33.5883266688291,30.5442963674332,30.8313678120128,31.3988137336271
"ENSG00000000419","DPM1",94.7934899987535,97.4583951279565,90.9637233454189,98.7340850805951,99.2214264156979,89.7943292474979,96.2349937487525,90.9055927009705,96.592845090076,88.4810386328647,101.454249230376,91.5589408472567
"ENSG00000000457","SCYL3",9.61380785093741,11.3474905182339,12.5662897669696,10.6150047288416,10.6371987819092,12.0226716984098,9.69400120179742,10.9195907148313,9.03082367982668,9.9140023856772,8.88959346524856,9.79642988489166
"ENSG00000000460","C1orf112",12.7063614253648,14.8935813051819,11.1880515344633,17.37661733009,16.8422314046896,15.341430031825,16.7441838940137,16.1063963043762,16.7941633344145,17.8795881175219,16.1564833614438,16.2645855140188
"ENSG00000000971","CFH",40.8754907228668,38.0022729334603,45.7250801843282,32.64477481678,26.2384236620428,29.1174080195862,24.9693970349327,25.3198009700151,27.3565302114048,24.2979018007349,28.6442456102453,28.5729204976007
"ENSG00000001036","FUCA2",116.239676743152,114.834239984002,119.987799065258,109.058267762071,109.74043410003,104.133869971122,120.675627081769,107.353226215185,111.644217889787,115.01388894829,117.469627933642,110.147038577564
"ENSG00000001084","GCLC",41.6150144037081,45.1535560204722,39.1581803706215,41.442141749587,41.6032663470228,44.0831295608358,42.4185991981681,45.7940335603237,41.3516663234169,41.0313624748259,41.2731125172254,39.4997076769029
"ENSG00000001167","NFYA",26.5556230847572,27.5413051119634,26.9161819524769,25.8831622155316,28.7795322599434,26.0491220132212,27.8482216342544,26.3435125995305,28.9408852429533,29.8566199013747,28.5031409520668,26.7517893010503
"ENSG00000001460","STPG1",10.2188726807167,11.4065920313497,11.5934157204946,13.4505196906554,11.8191097576769,11.020782390209,10.9865346953704,10.8513432728636,10.8792378833,11.575887178652,12.0644482742659,11.617561081442
"ENSG00000001461","NIPAL3",81.7509814457335,76.9501700767734,84.640042043331,79.7579464899947,75.0513469612486,76.268823586787,74.9669426272334,72.6835256955958,67.2294651720431,70.4295313988282,75.2087828091664,74.10120041136
"ENSG00000001497","LAS1L",68.2378669139963,68.6168567274454,67.533673392811,72.7055118413808,68.9645054360449,65.3732773601031,78.1982763611658,76.3688875618514,67.4407125095829,78.0512788976436,71.6811663547026,71.7776881950716
"ENSG00000001561","ENPP4",14.0509499359854,16.1347130806138,14.6741835343323,13.0142866196072,14.8329827458846,16.5311735853134,13.0428379806002,12.7622716479591,12.6220284180034,11.8624190395097,11.0061633379268,12.6851207483854
"ENSG00000001626","CFTR",1.27735908508959,1.18203026231603,1.4593110697126,1.16328818946209,1.18191097576769,1.44021588053867,1.23378197113785,1.5014437232893,1.26748402523883,1.20343381560243,1.05828493633911,1.69553594161586
"ENSG00000001629","ANKIB1",163.905339444653,172.635519811256,180.1438442723,171.585007945659,169.663320571452,178.085824532695,172.729475959299,188.977166808549,181.725522118618,175.070966984068,175.463642445025,175.330975888574
"ENSG00000001630","CYP51A1",2.75640644677226,3.54609078694808,3.486131999869,3.92609763943456,5.25950384216624,3.8197029875156,4.28886113776492,4.6408260538033,4.70025326026067,4.52720340155202,3.66872111264226,5.46339358965112
"ENSG00000001631","KRIT1",11.5634611913373,15.0117843314135,11.6744885577008,12.8688755959244,12.5873518919259,15.6545204406377,14.3353714741732,15.2191795587961,14.7873136277864,12.0916445281959,10.5122970343019,13.3130970230579
"ENSG00000002016","RAD52",30.1860120634328,28.4869293218163,30.8887509755834,27.0464504049937,26.120232564466,29.3678803466364,27.260706409903,25.7292856218212,32.1095953060504,29.2262498074877,30.7608154829236,29.3264920272077
"ENSG00000002330","BAD",17.8830271912542,17.7895554478562,17.9170970225825,15.4135685103727,15.2466515874033,18.40971603819,19.035493268984,17.6078400276655,16.0019858186403,18.6818773279235,19.3313381704611,16.3901807689533
"ENSG00000002549","LAP3",102.928250488008,103.782257031347,107.989019158733,100.115489805581,96.2666489762787,96.4318459143283,110.39411065562,103.9408541168,103.880878235199,104.469516468726,108.438929810215,104.934835497782
"ENSG00000002746","HECW1",8.00030163819267,8.86522696737021,9.32337627871941,8.21572283807603,8.98252341583447,9.20485801909498,8.57772227552984,8.53093024596195,9.13644734859658,9.3982450361333,8.81904113615928,9.35684649262088
"ENSG00000002834","LASP1",321.423883463858,310.873958989115,329.317864731811,324.121171788876,309.956153395078,297.498506453879,295.637660893604,288.345442313514,272.192194420039,295.758186777341,296.954753136755,291.506586702994
"ENSG00000002919","SNX11",22.9252341060815,20.3309205118357,21.3221561852453,20.5756598511108,22.3972129907978,19.7873138369661,21.5618087336949,19.7917581706317,20.1741207350514,23.2090807294755,22.647297637657,19.4044668873816
"ENSG00000003056","M6PR",129.954479551483,121.571812479203,131.175850599722,134.941429977603,124.514321297127,124.046419971613,142.002429725723,138.132822542616,133.561129159542,150.429226950304,148.159891087476,138.029185173025
"ENSG00000003137","CYP26B1",18.2864037444404,20.7446311036463,18.40353404582,16.794973235359,12.3509696967724,14.777867295962,9.63524967936228,12.2162921122175,13.8367006088573,10.2005342465349,9.3129074397842,13.5014899054597
